layer_id	Themekey thesaurus	placekey value
fgdc1098	LCSH	United States
fgdc1099	GNIS	Maryland
fgdc1101	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1102	GNIS	Wisconsin
fgdc1103	GNIS	Wisconsin
fgdc1105	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	K'un-ming
fgdc1106	GNIS	Idaho
fgdc1109	GNIS	Nevada
fgdc1111	LCSH	Canada
fgdc1113	GNIS	Vermont
fgdc1115	GNIS	Illinois
fgdc1117	GNIS	Wisconsin
fgdc1120	LCSH	Europe
fgdc1125	GNIS	Arkansas
fgdc1126	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Hsi-hao-chi-t'e-wang-fu
fgdc1126	None	Hsi-hao-chi-t'e Wang-fu
fgdc1127	GNIS	China
fgdc1130	GNIS	Michigan
fgdc1131	GNIS	Missouri
fgdc1132	none	global
fgdc1134	GNIS	Alabama
fgdc1135	GNIS	Florida
fgdc1136	GNIS	Oklahoma
fgdc1137	GNIS	Washington (State)
fgdc1138	LCSH	North America
fgdc1140	GNIS	Massachusetts
fgdc1143	GNIS	Tennessee
fgdc1144	GNIS	Virginia
fgdc1145	GNIS	California
fgdc1146	GNIS	Oregon
fgdc1147	GNIS	New Hampshire
fgdc1148	GNIS	Missouri
fgdc1149	GNS (NGA)	China
fgdc1151	GNIS	Missouri
fgdc1152	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Qingjiang
fgdc1152	None	Jiangxi Province
fgdc1153	GNIS	Georgia
fgdc1154	LCSH	United States
fgdc1157	GNIS	Nebraska
fgdc1159	GNIS	New Jersey
fgdc1160	LCSH	Europe
fgdc1161	GNIS	Alaska
fgdc1163	GNIS	Tennessee
fgdc1164	LCSH	United States
fgdc1165	GNIS	Puerto Rico
fgdc1166	GNIS	California
fgdc1167	GNIS	Guam
fgdc1168	GNIS	California
fgdc1169	GNIS	Virginia
fgdc1170	GNIS	Hawaii
fgdc1171	GNIS	Oregon
fgdc1173	GNIS	Puerto Rico
fgdc1175	None	Hebei Province
fgdc1178	GNIS	Louisiana
fgdc1179	GNIS	Iowa
fgdc1183	GNIS	New Jersey
fgdc1185	LCSH	Canada
fgdc1186	None	Sichuan Province
fgdc1189	GNIS	Wyoming
fgdc1190	GNIS	Montana
fgdc1191	GNIS	Washington (State)
fgdc1192	GNIS	Minnesota
fgdc1194	GNIS	Utah
fgdc1196	GNIS	New Hampshire
fgdc1197	GNIS	Texas
fgdc1198	GNIS	Wisconsin
fgdc1199	GNIS	Mississippi
fgdc1201	GNIS	Ohio
fgdc1202	GNIS	Alabama
fgdc1203	GNIS	Illinois
fgdc1205	GNIS	North Carolina
fgdc1207	GNIS	Arkansas
fgdc1208	GNIS	Oregon
fgdc1209	GNIS	Iowa
fgdc1210	GNIS	Kansas
fgdc1212	GNIS	Louisiana
fgdc1215	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1216	GNIS	Maine
fgdc1217	None	United States
fgdc1220	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	T'u-ho-mu Miao
fgdc1220	None	T??h??miin S??me
fgdc1222	GNIS	Wisconsin
fgdc1223	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1224	LCSH	United States
fgdc1225	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1228	GNIS	Rhode Island
fgdc1229	GNIS	Louisiana
fgdc1230	GNIS	South Dakota
fgdc1231	LCSH	Europe
fgdc1232	GNIS	Wisconsin
fgdc1233	GNIS	District of Columbia
fgdc1234	GNIS	Kansas
fgdc1236	GNIS	Wisconsin
fgdc1237	GNIS	Louisiana
fgdc1241	GNIS	South Dakota
fgdc1244	GNIS	Utah
fgdc1245	GNIS	Mississippi
fgdc1247	GNIS	Minnesota
fgdc1248	GNS (NIMA)	Canada
fgdc1249	GNIS	Washington (State)
fgdc1250	GNIS	Virginia
fgdc1252	GNIS	New Jersey
fgdc1253	LCSH	Europe
fgdc1254	GNIS	Kansas
fgdc1255	GNIS	Indiana
fgdc1256	GNS	White Sea
fgdc1258	GNIS	Virginia
fgdc1263	GNIS	Connecticut
fgdc1264	GNIS	Hawaii
fgdc1267	None	World
fgdc1270	GNIS	Arizona
fgdc1271	GNIS	Utah
fgdc1274	LCSH	South America
fgdc1276	GNIS	South Dakota
fgdc1277	GNIS	Delaware
fgdc1278	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Hsiang-t'an
fgdc1278	None	Jiangxi Province
fgdc1279	GNIS	Arkansas
fgdc1281	LCSH	North America
fgdc1287	GNIS	Rhode Island
fgdc1289	GNIS	Florida
fgdc1290	GNIS	American Samoa
fgdc1291	GNIS	Illinois
fgdc1292	GNIS	Alaska
fgdc1294	GNIS	New Jersey
fgdc1296	GNS	China
fgdc1297	LCSH	East (U.S.)
fgdc1298	GNIS	Utah
fgdc1299	GNIS	Illinois
fgdc1300	GNIS	Rhode Island
fgdc1301	LCSH	United States
fgdc1304	GNIS	Washington
fgdc1305	GNIS	Pennsylvania
fgdc1309	GNIS	South Carolina
fgdc1310	GNIS	New Jersey
fgdc1311	GNIS	Virginia
fgdc1313	GNIS	Wyoming
fgdc1316	LCSH	Europe
fgdc1317	GNIS	Oregon
fgdc1319	GNIS	Connecticut
fgdc1321	GNIS	Connecticut
fgdc1323	GNIS	Pennsylvania
fgdc1325	GNIS	Alaska
fgdc1327	GNIS	Massachusetts
fgdc1329	GNIS	Florida
fgdc1333	GNIS	New Mexico
fgdc1339	GNIS	Wisconsin
fgdc1341	GNIS	Virginia
fgdc1342	GNS	North Sea
fgdc1343	GNIS	Maine
fgdc1345	GNIS	Arkansas
fgdc1346	LCSH	Mexico
fgdc1347	GNIS	South Dakota
fgdc1348	GNIS	Maine
fgdc1349	GNIS	Oklahoma
fgdc1353	GNIS	Tennessee
fgdc1357	GNIS	Maine
fgdc1358	GNIS	Pennsylvania
fgdc1359	GNIS	Arizona
fgdc1360	LCSH	Europe
fgdc1363	LCSH	Europe
fgdc1365	GNIS	Wyoming
fgdc1367	GNIS	Oregon
fgdc1368	GNIS	Arizona
fgdc1369	GNIS	West Virginia
fgdc1370	GNIS	New Jersey
fgdc1371	None	Europe
fgdc1373	GNIS	Virginia
fgdc1374	"Gazetteer of the People's Republic of China (US Defence Mapping Agency, 1979)"	Sui-ning
fgdc1374	None	Sichuan Province
fgdc1378	GNS	United States
fgdc1379	GNIS	North Carolina
fgdc1380	GNIS	Nevada
fgdc1382	GNIS	Virginia
fgdc1383	GNIS	Ohio
fgdc1386	GNIS	New York
fgdc1387	LCSH	Canada
fgdc1389	GNIS	South Carolina
fgdc1390	GNIS	Alaska
fgdc1395	GNIS	Rhode Island
fgdc1396	GNIS	Minnesota
fgdc1397	GNIS	Kentucky
fgdc1402	GNIS	Ohio
fgdc1403	GNIS	Virginia
fgdc1407	GNIS	Minnesota
fgdc1408	GNIS	Vermont
fgdc1409	GNIS	Mississippi
fgdc1410	GNS	Rwanda
fgdc1412	GNIS	Idaho
fgdc1414	GNIS	Maine
fgdc1415	GNIS	North Carolina
fgdc1417	LCSH	United States
fgdc1418	GNIS	Indiana
fgdc1420	GNIS	Hawaii
fgdc1421	GNIS	Kentucky
fgdc1422	GNIS	Maryland
fgdc1423	GNIS	Rhode Island
fgdc1424	GNIS	Alabama
fgdc1426	LCSH	Europe
fgdc1428	GNIS	Nevada
fgdc1429	GNIS	Maine
fgdc1435	LCSH	Europe
fgdc1437	LCSH	Europe
fgdc1439	GNIS	New Mexico
fgdc1441	GNIS	Arizona
fgdc1443	GNIS	West Virginia
fgdc1446	GNIS	Connecticut
fgdc1448	LCSH	Europe
fgdc1449	GNS	Israel
fgdc1451	Dictionary of Chinese History	Songjiang
fgdc1453	GNS (NGA)	China
fgdc1454	LCSH	Europe
fgdc1458	GNIS	Iowa
fgdc1459	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	Massachusetts
fgdc1463	LCSH	Africa
fgdc1467	GNIS	Utah
