fgdc289	GNIS	 "Massachusetts | Franklin | Ashland | Bellingham | Blackstone | Dover | Foxbrough | Holliston | Hopedale | Hopkinton | Mansfield | Medfield | Medway | Mendon | Milford | Millis | Natick | Norfolk | North Attleborough | Plainville | Sherborn | Walpole | Westwood | Wrentham"
fgdc29	GNIS	 "Texas"
fgdc290	GNIS	 "New Mexico"
fgdc291	GNIS	 "Vermont"
fgdc292	GNS	 "Morocco | Gourrama"
fgdc293	GNIS	 "Iowa"
fgdc294	GNIS	 "Maryland"
fgdc295	GNIS	 "Georgia"
fgdc296	GNIS	 "Idaho"
fgdc297	LCSH	 "Europe"
fgdc298	GNS	 "Burundi | Mwaro"
fgdc299	LCSH	 "Asia, Central"
fgdc299	GNS	 "China | Xinjiang Uygur Zizhiqu"
fgdc299	GNS	 "Afghanistan | India | Kyrgyzstan | Pakistan | Tajikistan"
fgdc3	GNS	 "Algeria | Ersoum el Lil, Hassi"
fgdc30	GNIS	 "Texas"
fgdc300	GNS	 "French Polynesia | "
fgdc301	GNS	 "Nicaragua | Matagalpa, Departamento de | Sebaco"
fgdc302	LCSH	 "Europe"
fgdc303	GNIS	 "Alabama"
fgdc304	GNIS	 "Arkansas"
fgdc305	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America"
fgdc306	GNIS	 "Pennsylvania"
fgdc307	GNIS	 "Louisiana"
fgdc308	GNIS	 "Idaho"
fgdc309	GNIS	 "Mississippi"
fgdc31	GNS (NIMA)	 "China | Kuei-sui | Hohhot | Inner Mongolia Autonomous Region | Nei Mongol Zizhiqu"
fgdc310	GNIS	 "Massachusetts | Goshen | Windsor | Peru | Plainfield | Cummington | Worthington | Middlefield | Ashfield | Chesterfield | Conway | Williamsburg"
fgdc311	GNIS	 "Alaska"
fgdc312	GNIS	 "Massachusetts | Salem Harbor | Marblehead Harbor | Beverly Harbor | Manchester Harbor | Salem | Marblehead | Beverly | Manchester-by-the-Sea"
